K02869|RP-L12,_rpl12;_large_subunit_ribosomal_protein_L12
K09002|csm3;_CRISPR-associated_protein_Csm3
K22164|fpoI;_F420H2_dehydrogenase_subunit_I_[EC:1.5.98.3]
K03671|TXN,_trxA;_thioredoxin
K04653|hypC;_hydrogenase_expression/formation_protein_HypC
K01463|bshB1;_N-acetylglucosamine_malate_deacetylase_1_[EC:3.5.1.-]
K01880|GARS,_glyS1;_glycyl-tRNA_synthetase_[EC:6.1.1.14]
K11744|tqsA;_AI-2_transport_protein_TqsA
K07574|yhbY;_RNA-binding_protein
K03242|EIF2S3;_translation_initiation_factor_2_subunit_3
K02966|RP-S19e,_RPS19;_small_subunit_ribosomal_protein_S19e
K00180|iorB;_indolepyruvate_ferredoxin_oxidoreductase,_beta_subunit_[EC:1.2.7.8]
K07259|dacB;_serine-type_D-Ala-D-Ala_carboxypeptidase/endopeptidase_(penicillin-binding_protein_4)_[EC:3.4.16.4_3.4.21.-]
K24450|hmf,_hmt;_DNA-binding_protein
K05567|mnhC,_mrpC;_multicomponent_Na+:H+_antiporter_subunit_C
K11443|divK;_two-component_system,_cell_cycle_response_regulator_DivK
K15987|hppA;_K(+)-stimulated_pyrophosphate-energized_sodium_pump_[EC:7.2.3.1]
K03549|kup;_KUP_system_potassium_uptake_protein
K00344|qor,_CRYZ;_NADPH:quinone_reductase_[EC:1.6.5.5]
K19712|cobY;_adenosylcobinamide-phosphate_guanylyltransferase_[EC:2.7.7.62]
K24447|artA;_archaeosortase_A_[EC:3.4.22.-]
K01535|PMA1,_PMA2;_H+-transporting_ATPase_[EC:7.1.2.1]
K02896|RP-L24e,_RPL24;_large_subunit_ribosomal_protein_L24e
K00188|vorD;_2-oxoisovalerate_ferredoxin_oxidoreductase_delta_subunit_[EC:1.2.7.7]
K18672|dacA;_diadenylate_cyclase_[EC:2.7.7.85]
K02049|ABC.SN.A;_NitT/TauT_family_transport_system_ATP-binding_protein
K15555|ssuB;_sulfonate_transport_system_ATP-binding_protein_[EC:7.6.2.14]
K09691|wzt,_rfbB;_homopolymeric_O-antigen_transport_system_ATP-binding_protein_[EC:7.5.2.14]
K07059|K07059;_rhomboid_family_protein
K01507|ppa;_inorganic_pyrophosphatase_[EC:3.6.1.1]
K03055|rpoK;_DNA-directed_RNA_polymerase_subunit_K_[EC:2.7.7.6]
K02322|polC;_DNA_polymerase_II_large_subunit_[EC:2.7.7.7]
K00096|araM,_egsA;_glycerol-1-phosphate_dehydrogenase_[NAD(P)+]_[EC:1.1.1.261]
K13979|yahK;_alcohol_dehydrogenase_(NADP+)_[EC:1.1.1.2]
K22170|fpoO;_F420H2_dehydrogenase_subunit_O_[EC:1.5.98.3]
K01872|AARS,_alaS;_alanyl-tRNA_synthetase_[EC:6.1.1.7]
K03529|smc;_chromosome_segregation_protein
K21929|udg;_uracil-DNA_glycosylase_[EC:3.2.2.27]
K02974|RP-S24e,_RPS24;_small_subunit_ribosomal_protein_S24e
K22882|K22882;_thymidylate_synthase_[EC:2.1.1.-]
K04751|glnB;_nitrogen_regulatory_protein_P-II_1
K05966|citG;_triphosphoribosyl-dephospho-CoA_synthase_[EC:2.4.2.52]
K01953|asnB,_ASNS;_asparagine_synthase_(glutamine-hydrolysing)_[EC:6.3.5.4]
K21640|nrpRII;_global_nitrogen_regulator_NrpRII
K17104|E2.5.1.41;_phosphoglycerol_geranylgeranyltransferase_[EC:2.5.1.41]
K19090|cas5t;_CRISPR-associated_protein_Cas5t
K00027|ME2,_sfcA,_maeA;_malate_dehydrogenase_(oxaloacetate-decarboxylating)_[EC:1.1.1.38]
K02952|RP-S13,_rpsM;_small_subunit_ribosomal_protein_S13
K25027|btuC;_cobalamin_transport_system_permease_protein
K04801|rfcS;_replication_factor_C_small_subunit
K22278|pgdA;_peptidoglycan-N-acetylglucosamine_deacetylase_[EC:3.5.1.104]
K20608|tet;_tetrahedral_aminopeptidase_[EC:3.4.11.-]
K02956|RP-S15,_MRPS15,_rpsO;_small_subunit_ribosomal_protein_S15
K25222|mmp10;_[methyl_coenzyme_M_reductase]-L-arginine_C-5-methyltransferase_[EC:2.1.1.379]
K03045|rpoB2;_DNA-directed_RNA_polymerase_subunit_B"_[EC:2.7.7.6]
K07304|msrA;_peptide-methionine_(S)-S-oxide_reductase_[EC:1.8.4.11]
K01875|SARS,_serS;_seryl-tRNA_synthetase_[EC:6.1.1.11]
K01424|E3.5.1.1,_ansA,_ansB;_L-asparaginase_[EC:3.5.1.1]
K09482|gatD;_glutamyl-tRNA(Gln)_amidotransferase_subunit_D_[EC:6.3.5.7]
K00812|aspB;_aspartate_aminotransferase_[EC:2.6.1.1]
K09006|K09006;_RNA-free_ribonuclease_P_[EC:3.1.26.5]
K22579|rph;_rifampicin_phosphotransferase_[EC:2.7.9.6]
K07107|ybgC;_acyl-CoA_thioester_hydrolase_[EC:3.1.2.-]
K05304|NANS,_SAS;_sialic_acid_synthase_[EC:2.5.1.56_2.5.1.57_2.5.1.132]
K07468|K07468;_DNA/RNA_ligase_[EC:6.5.1.-]
K01519|rdgB,_ITPA;_XTP/dITP_diphosphohydrolase_[EC:3.6.1.66]
K02962|RP-S17e,_RPS17;_small_subunit_ribosomal_protein_S17e
K03237|EIF2S1;_translation_initiation_factor_2_subunit_1
K06984|K06984;_beta-ribofuranosylaminobenzene_5'-phosphate_synthase_[EC:2.4.2.54]
K01575|alsD,_budA,_aldC;_acetolactate_decarboxylase_[EC:4.1.1.5]
K02469|gyrA;_DNA_gyrase_subunit_A_[EC:5.6.2.2]
K00721|DPM1;_dolichol-phosphate_mannosyltransferase_[EC:2.4.1.83]
K09690|wzm,_rfbA;_homopolymeric_O-antigen_transport_system_permease_protein
K03641|tolB;_TolB_protein
K00847|E2.7.1.4,_scrK;_fructokinase_[EC:2.7.1.4]
K06868|sepcysS;_Sep-tRNA:Cys-tRNA_synthetase_[EC:2.5.1.73]
K02018|modB;_molybdate_transport_system_permease_protein
K19302|bcrC;_undecaprenyl-diphosphatase_[EC:3.6.1.27]
K09808|lolC_E;_lipoprotein-releasing_system_permease_protein
K00971|manC,_cpsB;_mannose-1-phosphate_guanylyltransferase_[EC:2.7.7.13]
K16011|algA,_xanB,_rfbA,_wbpW,_pslB;_mannose-1-phosphate_guanylyltransferase_/_mannose-6-phosphate_isomerase_[EC:2.7.7.13_5.3.1.8]
K04095|fic,_FICD,_HYPE;_cell_filamentation_protein,_protein_adenylyltransferase_[EC:2.7.7.108]
K07448|mrr;_restriction_system_protein
K03407|cheA;_two-component_system,_chemotaxis_family,_sensor_kinase_CheA_[EC:2.7.13.3]
K03839|fldA,_nifF,_isiB;_flavodoxin_I
K22010|pdtaR;_two-component_system,_response_regulator_PdtaR
K07744|K07744;_transcriptional_regulator
K02030|ABC.PA.S;_polar_amino_acid_transport_system_substrate-binding_protein
K20469|K20469;_putative_heme_transporter
K03264|EIF6;_translation_initiation_factor_6
K03124|TFIIB,_GTF2B,_SUA7,_tfb;_transcription_initiation_factor_TFIIB
K15865|CDKAL1;_threonylcarbamoyladenosine_tRNA_methylthiotransferase_CDKAL1_[EC:2.8.4.5]
K06943|NOG1;_nucleolar_GTP-binding_protein
K03574|mutT,_NUDT15,_MTH2;_8-oxo-dGTP_diphosphatase_[EC:3.6.1.55]
K03538|POP4,_RPP29;_ribonuclease_P_protein_subunit_POP4_[EC:3.1.26.5]
K07166|K07166;_ACT_domain-containing_protein
K02921|RP-L37Ae,_RPL37A;_large_subunit_ribosomal_protein_L37Ae
K07330|flaG;_archaeal_flagellar_protein_FlaG
K07398|K07398;_conserved_protein_with_predicted_RNA_binding_PUA_domain
K01743|E4.2.1.1;_carbonic_anhydrase_[EC:4.2.1.1]
K02050|ABC.SN.P;_NitT/TauT_family_transport_system_permease_protein
K22168|fpoM;_F420H2_dehydrogenase_subunit_M_[EC:1.5.98.3]
K02585|nifB;_nitrogen_fixation_protein_NifB
K07027|K07027;_glycosyltransferase_2_family_protein
K14205|mprF,_fmtC;_phosphatidylglycerol_lysyltransferase_[EC:2.3.2.3]
K06932|tiaS;_tRNA(Ile2)-agmatinylcytidine_synthase_[EC:6.3.4.22]
K11646|K11646;_3-dehydroquinate_synthase_II_[EC:1.4.1.24]
K15497|wtpC;_molybdate/tungstate_transport_system_ATP-binding_protein_[EC:7.3.2.5_7.3.2.6]
K08602|pepF,_pepB;_oligoendopeptidase_F_[EC:3.4.24.-]
K02867|RP-L11,_MRPL11,_rplK;_large_subunit_ribosomal_protein_L11
K01890|FARSB,_pheT;_phenylalanyl-tRNA_synthetase_beta_chain_[EC:6.1.1.20]
K06167|phnP;_phosphoribosyl_1,2-cyclic_phosphate_phosphodiesterase_[EC:3.1.4.55]
K06990|MEMO1;_MEMO1_family_protein
K19696|mtiP;_5'-methylthioinosine_phosphorylase_[EC:2.4.2.44]
K02883|RP-L18e,_RPL18;_large_subunit_ribosomal_protein_L18e
K07392|PRS2;_AAA_family_ATPase
K03668|hslJ;_heat_shock_protein_HslJ
K00443|frhG;_coenzyme_F420_hydrogenase_subunit_gamma_[EC:1.12.98.1]
K10680|nemA;_N-ethylmaleimide_reductase_[EC:1.-.-.-]
K03499|trkA,_ktrA,_ktrC;_trk/ktr_system_potassium_uptake_protein
K03263|EIF5A;_translation_initiation_factor_5A
K07583|PUS10;_tRNA_pseudouridine_synthase_10_[EC:5.4.99.25]
K07405|E3.2.1.1A;_alpha-amylase_[EC:3.2.1.1]
K09771|TC.SMR3;_small_multidrug_resistance_family-3_protein
K02193|ccmA;_heme_exporter_protein_A_[EC:7.6.2.5]
K00937|ppk1;_polyphosphate_kinase_[EC:2.7.4.1]
K16264|czcD,_zitB;_cobalt-zinc-cadmium_efflux_system_protein
K07143|K07143;_UPF0148_protein
K07557|tgtA2,_arcS;_archaeosine_synthase_alpha-subunit_[EC:2.6.1.97_2.6.1.-]
K04654|hypD;_hydrogenase_expression/formation_protein_HypD
K21306|aglB;_dolichyl-phosphooligosaccharide-protein_glycotransferase_[EC:2.4.99.21]
K03427|hsdM;_type_I_restriction_enzyme_M_protein_[EC:2.1.1.72]
K01537|ATP2C;_P-type_Ca2+_transporter_type_2C_[EC:7.2.2.10]
K03106|SRP54,_ffh;_signal_recognition_particle_subunit_SRP54_[EC:3.6.5.4]
K02592|nifN;_nitrogenase_molybdenum-iron_protein_NifN
K03686|dnaJ;_molecular_chaperone_DnaJ
K07305|msrB;_peptide-methionine_(R)-S-oxide_reductase_[EC:1.8.4.12]
K03433|psmB,_prcB;_proteasome_beta_subunit_[EC:3.4.25.1]
K21935|ablB;_beta-lysine_N6-acetyltransferase_[EC:2.3.1.264]
K02197|ccmE;_cytochrome_c-type_biogenesis_protein_CcmE
K02988|RP-S5,_MRPS5,_rpsE;_small_subunit_ribosomal_protein_S5
K24956|ZBTB8OS;_protein_archease
K06936|raSEA;_archaeosine_synthase_beta-subunit_[EC:2.6.1.-]
K22161|fpoD;_F420H2_dehydrogenase_subunit_D_[EC:1.5.98.3]
K02908|RP-L30e,_RPL30;_large_subunit_ribosomal_protein_L30e
K02589|nifHD1,_nifI1;_nitrogen_regulatory_protein_PII_1
K07739|ELP3,_KAT9;_elongator_complex_protein_3_(tRNA_carboxymethyluridine_synthase)_[EC:2.3.1.311]
K01921|ddl;_D-alanine-D-alanine_ligase_[EC:6.3.2.4]
K22224|acdB;_acetate---CoA_ligase_(ADP-forming)_subunit_beta_[EC:6.2.1.13]
K02587|nifE;_nitrogenase_molybdenum-cofactor_synthesis_protein_NifE
K10725|cdc6A;_archaeal_cell_division_control_protein_6
K07113|fxsA;_UPF0716_protein_FxsA
K07559|kptA;_putative_RNA_2'-phosphotransferase_[EC:2.7.1.-]
K04085|tusA,_sirA;_tRNA_2-thiouridine_synthesizing_protein_A_[EC:2.8.1.-]
K01091|gph;_phosphoglycolate_phosphatase_[EC:3.1.3.18]
K07025|K07025;_putative_hydrolase_of_the_HAD_superfamily
K07721|K07721;_ArsR_family_transcriptional_regulator
K14656|ribL;_FAD_synthetase_[EC:2.7.7.2]
K12137|hyfB;_hydrogenase-4_component_B_[EC:1.-.-.-]
K02000|proV;_glycine_betaine/proline_transport_system_ATP-binding_protein_[EC:7.6.2.9]
K22026|K22026;_nucleoside_kinase_[EC:2.7.1.73_2.7.1.213_2.7.1.-]
K07236|tusC,_dsrF;_tRNA_2-thiouridine_synthesizing_protein_C
K10773|NTHL1,_nth;_endonuclease_III_[EC:3.2.2.-_4.2.99.18]
K14068|vhoA,_vhtA;_methanophenazine_hydrogenase,_large_subunit_[EC:1.12.98.3]
K09121|larC;_pyridinium-3,5-bisthiocarboxylic_acid_mononucleotide_nickel_chelatase_[EC:4.99.1.12]
K11105|cvrA,_nhaP2;_potassium/hydrogen_antiporter
K23975|E2.8.1.16;_L-aspartate_semialdehyde_sulfurtransferase_[EC:2.8.1.16]
K02323|polB;_DNA_polymerase_II_small_subunit_[EC:2.7.7.7]
K02912|RP-L32e,_RPL32;_large_subunit_ribosomal_protein_L32e
K06874|K06874;_zinc_finger_protein
K09816|znuB;_zinc_transport_system_permease_protein
K20215|dph5;_diphthine_synthase_[EC:2.1.1.98]
K03592|pmbA;_PmbA_protein
K06898|larB;_pyridinium-3,5-biscarboxylic_acid_mononucleotide_synthase_[EC:2.5.1.143]
K02001|proW;_glycine_betaine/proline_transport_system_permease_protein
K05770|TSPO,_BZRP;_translocator_protein
K01286|E3.4.16.4;_D-alanyl-D-alanine_carboxypeptidase_[EC:3.4.16.4]
K03299|TC.GNTP;_gluconate:H+_symporter,_GntP_family
K03470|rnhB;_ribonuclease_HII_[EC:3.1.26.4]
K01726|GAMMACA;_gamma-carbonic_anhydrase_[EC:4.2.1.-]
K01524|ppx-gppA;_exopolyphosphatase_/_guanosine-5'-triphosphate,3'-diphosphate_pyrophosphatase_[EC:3.6.1.11_3.6.1.40]
K07732|rfk;_riboflavin_kinase,_archaea_type_[EC:2.7.1.161]
K07569|gar1;_RNA-binding_protein
K02470|gyrB;_DNA_gyrase_subunit_B_[EC:5.6.2.2]
K03426|NUDT12_13,_nudC;_NAD+_diphosphatase_[EC:3.6.1.22]
K09739|mptD;_dihydroneopterin_aldolase_[EC:4.1.2.25]
K02936|RP-L7Ae,_RPL7A;_large_subunit_ribosomal_protein_L7Ae
K24393|comDE;_sulfopyruvate_decarboxylase_[EC:4.1.1.79]
K21029|moeB;_molybdopterin-synthase_adenylyltransferase_[EC:2.7.7.80]
K05343|treS;_maltose_alpha-D-glucosyltransferase_/_alpha-amylase_[EC:5.4.99.16_3.2.1.1]
K02874|RP-L14,_MRPL14,_rplN;_large_subunit_ribosomal_protein_L14
K09136|ycaO;_ribosomal_protein_S12_methylthiotransferase_accessory_factor
K24409|ycaO;_thioglycine_synthase_[EC:6.2.2.1]
K01151|nfo;_deoxyribonuclease_IV_[EC:3.1.21.2]
K16012|cydC;_ATP-binding_cassette,_subfamily_C,_bacterial_CydC
K02886|RP-L2,_MRPL2,_rplB;_large_subunit_ribosomal_protein_L2
K03243|EIF5B;_translation_initiation_factor_5B
K04078|groES,_HSPE1;_chaperonin_GroES
K23976|K23976;_L-aspartate_semialdehyde_sulfurtransferase_ferredoxin
K18700|flK;_fluoroacetyl-CoA_thioesterase_[EC:3.1.2.29]
K04798|pfdB,_PFDN6;_prefoldin_beta_subunit
K07114|yfbK;_Ca-activated_chloride_channel_homolog
K07403|nfeD;_membrane-bound_serine_protease_(ClpP_class)
K22737|mbfA;_erythrin-vacuolar_iron_transport_family_protein
K00442|frhD;_coenzyme_F420_hydrogenase_subunit_delta
K02954|RP-S14,_MRPS14,_rpsN;_small_subunit_ribosomal_protein_S14
K09116|K09116;_damage-control_phosphatase,_subfamily_I_[EC:3.1.3.-]
K03524|birA;_BirA_family_transcriptional_regulator,_biotin_operon_repressor_/_biotin---[acetyl-CoA-carboxylase]_ligase_[EC:6.3.4.15]
K07477|K07477;_translin
K02906|RP-L3,_MRPL3,_rplC;_large_subunit_ribosomal_protein_L3
K02961|RP-S17,_MRPS17,_rpsQ;_small_subunit_ribosomal_protein_S17
K18678|VTE5;_phytol_kinase_[EC:2.7.1.182]
K08975|K08975;_putative_membrane_protein
K05896|scpA;_segregation_and_condensation_protein_A
K03782|katG;_catalase-peroxidase_[EC:1.11.1.21]
K03498|trkH,_trkG,_ktrB,_ktrD;_trk/ktr_system_potassium_uptake_protein
K23518|MACROD,_ymdB;_O-acetyl-ADP-ribose_deacetylase_[EC:3.1.1.106]
K01493|comEB;_dCMP_deaminase_[EC:3.5.4.12]
K03539|RPP1,_RPP30;_ribonuclease_P/MRP_protein_subunit_RPP1_[EC:3.1.26.5]
K02434|gatB,_PET112;_aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_B_[EC:6.3.5.6_6.3.5.7]
K07558|K07558,_cca;_tRNA_nucleotidyltransferase_(CCA-adding_enzyme)_[EC:2.7.7.72]
K03657|uvrD,_pcrA;_ATP-dependent_DNA_helicase_UvrD/PcrA_[EC:5.6.2.4]
K24160|NHA1,_SOD2;_sodium/hydrogen_antiporter
K03282|mscL;_large_conductance_mechanosensitive_channel
K03709|troR,_sirR,_scaR,_mntR;_DtxR_family_transcriptional_regulator,_Mn-dependent_transcriptional_regulator
K09156|cheF;_taxis_protein_CheF
K08982|K08982;_putative_membrane_protein
K06937|E1.21.98.5;_tetraether_lipid_synthase_[EC:1.21.98.5]
K07579|K07579;_putative_methylase
K00441|frhB;_coenzyme_F420_hydrogenase_subunit_beta_[EC:1.12.98.1]
K01868|TARS,_thrS;_threonyl-tRNA_synthetase_[EC:6.1.1.3]
K15449|TYW1;_tRNA_wybutosine-synthesizing_protein_1_[EC:4.1.3.44]
K03809|wrbA;_NAD(P)H_dehydrogenase_(quinone)_[EC:1.6.5.2]
K07728|K07728;_putative_transcriptional_regulator
K18785|mp2;_beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine_phosphorylase_[EC:2.4.1.319_2.4.1.320]
K02009|cbiN;_cobalt/nickel_transport_protein
K22960|lpdD;_gallate_decarboxylase_subunit_D
K02503|HINT1_2,_hinT,_hit;_histidine_triad_(HIT)_family_protein_[EC:3.9.1.-]
K04567|KARS,_lysS;_lysyl-tRNA_synthetase,_class_II_[EC:6.1.1.6]
K03051|rpoF;_DNA-directed_RNA_polymerase_subunit_F_[EC:2.7.7.6]
K17488|mptA;_GTP_cyclohydrolase_IV_[EC:3.5.4.39]
K02930|RP-L4e,_RPL4;_large_subunit_ribosomal_protein_L4e
K03386|PRDX2_4,_ahpC;_peroxiredoxin_2/4_[EC:1.11.1.24]
K05873|cyaB;_adenylate_cyclase,_class_2_[EC:4.6.1.1]
K03044|rpoB1;_DNA-directed_RNA_polymerase_subunit_B'_[EC:2.7.7.6]
K22106|fatR,_bscR;_TetR/AcrR_family_transcriptional_regulator,_repressor_of_fatR-cypB_operon
K21636|nrdD;_ribonucleoside-triphosphate_reductase_(formate)_[EC:1.1.98.6]
K02929|RP-L44e,_RPL44;_large_subunit_ribosomal_protein_L44e
K02991|RP-S6e,_RPS6;_small_subunit_ribosomal_protein_S6e
K16697|tuaC;_teichuronic_acid_biosynthesis_glycosyltransferase_TuaC_[EC:2.4.-.-]
K11627|pylS;_pyrrolysyl-tRNA_synthetase_[EC:6.1.1.26]
K18939|lmrA,_yxaF;_TetR/AcrR_family_transcriptional_regulator,_lmrAB_and_yxaGH_operons_repressor
K05540|dusB;_tRNA-dihydrouridine_synthase_B_[EC:1.-.-.-]
K02614|paaI;_acyl-CoA_thioesterase_[EC:3.1.2.-]
K19091|cas6;_CRISPR-associated_endoribonuclease_Cas6_[EC:3.1.-.-]
K22187|xylA;_alpha-ketoglutaric_semialdehyde_dehydrogenase_[EC:1.2.1.-]
K10907|K10907;_aminotransferase_[EC:2.6.1.-]
K02866|RP-L10e,_RPL10;_large_subunit_ribosomal_protein_L10e
K02907|RP-L30,_MRPL30,_rpmD;_large_subunit_ribosomal_protein_L30
K06875|PDCD5,_TFAR19;_programmed_cell_death_protein_5
K02435|gatC,_GATC;_aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_C_[EC:6.3.5.6_6.3.5.7]
K10716|kch,_trkA,_mthK,_pch;_voltage-gated_potassium_channel
K03828|yjgM;_putative_acetyltransferase_[EC:2.3.1.-]
K03612|rnfG;_H+/Na+-translocating_ferredoxin:NAD+_oxidoreductase_subunit_G
K18555|qnr,_mcbG;_fluoroquinolone_resistance_protein
K21310|mddA;_methanethiol_S-methyltransferase_[EC:2.1.1.334]
K03572|mutL;_DNA_mismatch_repair_protein_MutL
K13954|yiaY;_alcohol_dehydrogenase_[EC:1.1.1.1]
K03654|recQ;_ATP-dependent_DNA_helicase_RecQ_[EC:5.6.2.4]
K01069|gloB,_gloC,_HAGH;_hydroxyacylglutathione_hydrolase_[EC:3.1.2.6]
K03616|rnfB;_H+/Na+-translocating_ferredoxin:NAD+_oxidoreductase_subunit_B_[EC:7.1.1.11_7.2.1.2]
K09723|ginS;_DNA_replication_factor_GINS
K07147|msrP;_methionine_sulfoxide_reductase_catalytic_subunit_[EC:1.8.-.-]
K07464|cas4;_CRISPR-associated_exonuclease_Cas4_[EC:3.1.12.1]
K22163|fpoH;_F420H2_dehydrogenase_subunit_H_[EC:1.5.98.3]
K01869|LARS,_leuS;_leucyl-tRNA_synthetase_[EC:6.1.1.4]
K15172|SUPT5H,_SPT5;_transcription_elongation_factor_SPT5
K07055|TRM12,_TYW2;_tRNA_wybutosine-synthesizing_protein_2_[EC:2.5.1.114]
K17105|E2.5.1.42;_geranylgeranylglycerol-phosphate_geranylgeranyltransferase_[EC:2.5.1.42]
K00567|ogt,_MGMT;_methylated-DNA-[protein]-cysteine_S-methyltransferase_[EC:2.1.1.63]
K26735|KEA4_5_6,_TMCO3,_ybaL;_K+:H+_antiporter
K07179|RIOK2;_RIO_kinase_2_[EC:2.7.11.1]
K02195|ccmC;_heme_exporter_protein_C
K06961|KRR1;_ribosomal_RNA_assembly_protein
K07446|trm-G10;_tRNA_(guanine10-N2)-dimethyltransferase_[EC:2.1.1.213]
K07058|K07058;_membrane_protein
K14574|SDO1,_SBDS;_ribosome_maturation_protein_SDO1
K13280|SEC11,_sipW;_signal_peptidase_I_[EC:3.4.21.89]
K16786|ecfA1;_energy-coupling_factor_transport_system_ATP-binding_protein_[EC:7.-.-.-]
K22900|TRMO,_trmO;_tRNA_(adenine37-N6)-methyltransferase_[EC:2.1.1.-]
K03284|corA;_magnesium_transporter
K04799|FEN1,_RAD2;_flap_endonuclease-1_[EC:3.1.-.-]
K06965|PELO,_DOM34,_pelA;_protein_pelota
K07504|K07504;_predicted_type_IV_restriction_endonuclease
K22162|fpoF;_F420H2_dehydrogenase_subunit_F_[EC:1.5.7.2_1.5.98.3]
K01974|RTCA,_rtcA;_RNA_3'-terminal_phosphate_cyclase_(ATP)_[EC:6.5.1.4]
K07462|recJ;_single-stranded-DNA-specific_exonuclease_[EC:3.1.-.-]
K03365|FCY1;_cytosine/creatinine_deaminase_[EC:3.5.4.1_3.5.4.21]
K02051|ABC.SN.S;_NitT/TauT_family_transport_system_substrate-binding_protein
K15553|ssuA;_sulfonate_transport_system_substrate-binding_protein
K02528|ksgA;_16S_rRNA_(adenine1518-N6/adenine1519-N6)-dimethyltransferase_[EC:2.1.1.182]
K02194|ccmB;_heme_exporter_protein_B
K01874|MARS,_metG;_methionyl-tRNA_synthetase_[EC:6.1.1.10]
K03726|helS;_ATP-dependent_DNA_helicase_[EC:5.6.2.4]
K07562|NMD3;_60S_ribosomal_export_protein_NMD3
K07463|K07463;_archaea-specific_RecJ-like_exonuclease
K01469|OPLAH,_OXP1,_oplAH;_5-oxoprolinase_(ATP-hydrolysing)_[EC:3.5.2.9]
K01474|hyuB;_N-methylhydantoinase_B_[EC:3.5.2.14]
K03593|mrp,_NUBPL;_ATP-binding_protein_involved_in_chromosome_partitioning
K03546|sbcC,_rad50;_DNA_repair_protein_SbcC/Rad50
K09951|cas2;_CRISPR-associated_protein_Cas2
K19271|catA;_chloramphenicol_O-acetyltransferase_type_A_[EC:2.3.1.28]
K03406|mcp;_methyl-accepting_chemotaxis_protein
K01426|E3.5.1.4,_amiE;_amidase_[EC:3.5.1.4]
K02433|gatA,_QRSL1;_aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln)_amidotransferase_subunit_A_[EC:6.3.5.6_6.3.5.7]
K03665|hflX;_GTPase
K05569|mnhE,_mrpE;_multicomponent_Na+:H+_antiporter_subunit_E
K00666|K00666;_fatty-acyl-CoA_synthase_[EC:6.2.1.-]
K02996|RP-S9,_MRPS9,_rpsI;_small_subunit_ribosomal_protein_S9
K23259|adh;_isopropanol_dehydrogenase_(NADP+)_[EC:1.1.1.80]
K03630|radC;_DNA_repair_protein_RadC
K07342|SEC61G,_SSS1,_secE;_protein_transport_protein_SEC61_subunit_gamma_and_related_proteins
K12574|rnj;_ribonuclease_J_[EC:3.1.-.-]
K06927|DPH6;_diphthine-ammonia_ligase_[EC:6.3.1.14]
K01170|endA;_tRNA-intron_endonuclease,_archaea_type_[EC:4.6.1.16]
K02217|ftnA,_ftn;_ferritin_[EC:1.16.3.2]
K06024|scpB;_segregation_and_condensation_protein_B
K07060|nob1;_endoribonuclease_Nob1_[EC:3.1.-.-]
K05595|marC;_multiple_antibiotic_resistance_protein
K01887|RARS,_argS;_arginyl-tRNA_synthetase_[EC:6.1.1.19]
K07012|cas3;_CRISPR-associated_endonuclease/helicase_Cas3_[EC:3.1.-.-_5.6.2.4]
K03306|TC.PIT;_inorganic_phosphate_transporter,_PiT_family
K06920|queC;_7-cyano-7-deazaguanine_synthase_[EC:6.3.4.20]
K05996|cpt;_carboxypeptidase_T_[EC:3.4.17.18]
K06949|rsgA,_engC;_ribosome_biogenesis_GTPase_/_thiamine_phosphate_phosphatase_[EC:3.6.1.-_3.1.3.100]
K11130|NOP10,_NOLA3;_H/ACA_ribonucleoprotein_complex_subunit_3
K03049|rpoE1;_DNA-directed_RNA_polymerase_subunit_E'_[EC:2.7.7.6]
K09720|nrpRI;_HTH-type_transcriptional_regulator,_global_nitrogen_regulator_NrpRI
K04565|SOD1;_superoxide_dismutase,_Cu-Zn_family_[EC:1.15.1.1]
K06176|truD,_PUS7;_tRNA_pseudouridine13_synthase_[EC:5.4.99.27]
K02379|fdhD;_FdhD_protein
K19075|cst2,_cas7;_CRISPR-associated_protein_Cst2
K26605|azlC,_brnF;_branched_chain_amino_acid_efflux_pump
K05592|deaD,_cshA;_ATP-dependent_RNA_helicase_DeaD_[EC:3.6.4.13]
K09817|znuC;_zinc_transport_system_ATP-binding_protein_[EC:7.2.2.20]
K15171|SUPT4H1,_SPT4;_transcription_elongation_factor_SPT4
K23242|mntP;_manganese_efflux_pump_family_protein
K05571|mnhG,_mrpG;_multicomponent_Na+:H+_antiporter_subunit_G
K03711|fur,_zur,_furB;_Fur_family_transcriptional_regulator,_ferric_uptake_regulator
K02876|RP-L15,_MRPL15,_rplO;_large_subunit_ribosomal_protein_L15
K07552|bcr,_tcaB;_MFS_transporter,_DHA1_family,_multidrug_resistance_protein
K03537|POP5;_ribonuclease_P/MRP_protein_subunit_POP5_[EC:3.1.26.5]
K03330|gatE;_glutamyl-tRNA(Gln)_amidotransferase_subunit_E_[EC:6.3.5.7]
K09741|pcc1;_KEOPS_complex_subunit_Pcc1
K02348|elaA;_ElaA_protein
K22159|fpoB;_F420H2_dehydrogenase_subunit_B_[EC:1.5.98.3]
K03325|ACR3,_arsB;_arsenite_transporter
K19147|mcrC;_5-methylcytosine-specific_restriction_enzyme_subunit_McrC
K03231|EEF1A;_elongation_factor_1-alpha
K01873|VARS,_valS;_valyl-tRNA_synthetase_[EC:6.1.1.9]
